Проект,Категории,Цена,Заявки
Нарисовать плашку для сайта в НГ тематике,Баннеры,$8,8 заявок
"Установка модулей шаблона ocstore, настройка выгрузок от поставщиков",Веб-программирование,,1 заявка
Верстка страницы каталога,HTML-верстка,$30,9 заявок
Нужны отзывы на Google картах.,Копирайтинг,,74 заявки
Работа с Facebook API. Настроить выгрузку рекламной статистики.,Веб-программирование,,2 заявки
Написать 5 отзывов срочно.,Копирайтинг,,8 заявок
Реферальная система,Веб-программирование,$1500,5 заявок
Удалить советник Яндекса,Веб-программирование,,3 заявки
Медицинские статьи по стоматологии,Копирайтинг,,6 заявок
Web проект,Веб-программирование,,4 заявки
Создание обложки для главного меню игры,Иллюстрации и Рисунки,,18 заявок
Seo специалист который поможет понять почему сайта нет в поиске,Поисковые системы (SEO),,12 заявок
Сверстать и натянуть на Wordpress лендинг,HTML-верстка,,26 заявок
Миграция CMS Joomla с версии 1.5 до последней,Системы управления (CMS),,9 заявок
Ищу программиста JAVA,Системное программирование,,5 заявок
Доработки на ocstore,Системы управления (CMS),$50,3 заявки
Разработка On-line БД для ведения документов и клиентов,Базы данных,,10 заявок
Нужен верстальщик по Битрексу,HTML-верстка,,4 заявки
,,,
База данных предметов ГДЗ,Базы данных,,3 заявки
Нарисовать дизайн графичного лендинга по продаже франшизы ресторана.,Дизайн сайтов,,18 заявок
Скрипт для работы с файлами на Яндекс-диске через API,Веб-программирование,,5 заявок
"Зарегистрировать публичный канал в Вайбере, Viber",Тестирование сайтов,,4 заявки
Верстка опен карта,HTML-верстка,,6 заявок
Парсер СМС с messages.megafon.ru,Веб-программирование,,3 заявки
Макет флаера,Верстка полиграфии,,28 заявок
Написание тестов,Копирайтинг,,1 заявка
Составитель ТЗ.,Копирайтинг,,2 заявки
Редактор,Редактирование и Корректура,,12 заявок
"Плагин ""онлайн бронирования"" для сайта на Wordpress",Дизайн сайтов,,3 заявки
Настройка модуля Ajax QuickCheckout Opencart 2.0,Системы управления (CMS),$5,2 заявки
Компоновщик UTM меток,Веб-программирование,,5 заявок
Сделать бэкграун для сайта,Дизайн сайтов,,16 заявок
Разработать логотип для Веб-сайта,Логотипы и Знаки,,27 заявок
Дизайн вывески для салона красоты,Дизайн продукции,,21 заявка
Озвучить текст до 50сек. СРОК ДО 31.12.2017,Озвучивание,,15 заявок
Подготовить иск в суд на развод с женой,Юридические услуги,$15,9 заявок
"Продвижение FB, INS..",Социальные сети (SMM и SMO),,15 заявок
Коментарии для wordpress,Системы управления (CMS),,4 заявки
,,,
SEO Продвижение,Поисковые системы (SEO),,16 заявок
Добавление отзывов про организацию по всему интернету,Социальные сети (SMM и SMO),,8 заявок
Толкатель транзакций биткойн,Веб-программирование,,2 заявки
Аудит сети в небольшом офисе,Системное администрирование,,2 заявки
Писать письма и телеграммы теще и тестю (реальные - в РФ),Копирайтинг,$3,4 заявки
Оптизировать сайт под Google PageSpeed Insights,Веб-программирование,,8 заявок
Настройка postback в Keitaro TDS,Веб-программирование,$25,2 заявки
Внести изменения в проект на yii,Веб-программирование,$600,10 заявок
Ребрендинг Логотипа,Логотипы и Знаки,,27 заявок
Контент менеджер,Наполнение сайтов,,11 заявок
Ава+ шапка для группы вк,Дизайн сайтов,,16 заявок
Настройка скрипта,Веб-программирование,,нет заявок
Из офисного в жилое.,"Интерьеры и Экстерьеры, Иллюстрации и Рисунки",$100,2 заявки
Создать похожую работу,Музыка и Звуки,,3 заявки
Собрать 100 контактов,"Управление проектами, Подбор персонала (HR)",,6 заявок
Сверстать внутренние страницы,HTML-верстка,$30,11 заявок
Написать 3 статьи,Копирайтинг,,18 заявок
Скопировать сайт,Веб-программирование,$6,7 заявок
Доработки по верстке с использованием LESS,HTML-верстка,$150,13 заявок
Постинг в группу вк,Социальные сети (SMM и SMO),,7 заявок
,,,
Настроить порты в Linux,Системное администрирование,,4 заявки
"Курсы  Scratch , Unity3D и др.",Системное программирование,$200,3 заявки
Написать тексты для сайта СТО (автомобильная тематика),Копирайтинг,,6 заявок
Настроить сервер. Отправку Email писем,Веб-программирование,,4 заявки
Перенос сайта,"Веб-программирование, Системы управления (CMS)",,14 заявок
Интересует создание криптовалюты  и мультивалютного кошелька,Веб-программирование,,2 заявки
Разработка контент-плана ютуб канала,Сценарии,,5 заявок
Написать тексты для сайта СТО (автомобильная тематика),Копирайтинг,,5 заявок
Тексты по металлообработке,Копирайтинг,,8 заявок
Ищу специалиста который настроит Google analytics и яндекс Метрику,Поисковые системы (SEO),,4 заявки
PHP скрипт авторизации,Веб-программирование,,4 заявки
Переделать фото для амазон,Обработка фотографий,$20,9 заявок
Переделать фото для амазон,Обработка фотографий,$20,4 заявки
Переделать фото для амазон,Обработка фотографий,$20,5 заявок
Дизайн лендинга,Дизайн сайтов,,8 заявок
Создать продающий лендинг на tilda.cc,"Дизайн сайтов, Сайты «под ключ»",,12 заявок
JS всплывающее окно при наведении на картинку,HTML-верстка,,15 заявок
WP,Системы управления (CMS),,12 заявок
Доделать на вёрстке паралакс,HTML-верстка,,3 заявки
Андроид приложения с Hotelscombined API,ПО для мобильных устройств,$50,7 заявок
,,,
Сайт-визитка 1 страницы для сети магазинов.,Сайты «под ключ»,,16 заявок
Простой кноструктор одного товара (менять цвета),Веб-программирование,,3 заявки
PHP обработка данных в массиве,Веб-программирование,$7,5 заявок
LP Криптовалют,Дизайн сайтов,$100,37 заявок
Установить и настроить ВордПресс,Системное администрирование,,3 заявки
Парсер с гугл плей,Веб-программирование,,5 заявок
Контент-менеджер,Копирайтинг,,4 заявки
Крауд маркетинг 67 ссылок,Социальные сети (SMM и SMO),$124,6 заявок
Проконсультировать по поводу использования стабилизатора напряжения,"Рефераты, Курсовые и Дипломы",,нет заявок
Туристическому порталу требуется спец по WP.,Системы управления (CMS),,9 заявок
CMS Bitrix проверить и пролечить сайт,Системы управления (CMS),,7 заявок
Реклама одностаничника,Контекстная реклама,,31 заявка
Перевод книги с отборными анекдотами на английский,Переводы,$35,17 заявок
Приложение Android для тестов скорости интернета,ПО для мобильных устройств,,7 заявок
Поправить JS и CSS в мобильной версии,HTML-верстка,,16 заявок
Разместить 600 ссылок на сайтах,Наполнение сайтов,$400,14 заявок
Биржа криптовалют,Веб-программирование,,3 заявки
"Написание  авторских статей,кейсов",Копирайтинг,,3 заявки
Подарок в корзине на JoomShopping,Интернет-магазины,,8 заявок
Стоимость доставки на JoomShopping,Интернет-магазины,,10 заявок
,,,
Скопировать HTML cайт,HTML-верстка,,27 заявок
Хочу заказать сайт для продвижения продаж,Веб-программирование,,15 заявок
Разработка интернет-магазина мебели,Интернет-магазины,,24 заявки
Верификация аккаунта AdSence.,Контекстная реклама,,нет заявок
Отформатировать текст записей на сайте WORDPRESS,Сайты «под ключ»,$10,6 заявок
Программа - Метки на файлы,Прикладное ПО,,6 заявок
Доработка шаблона WordPress,Веб-программирование,,7 заявок
Переверстать сайт,HTML-верстка,,28 заявок
Сделать баннер для видео,Баннеры,,11 заявок
Нужен веб-дизайнер на мелкие доработки по сайту,Дизайн сайтов,,9 заявок
Аудит сайта для SEO оптимизации,Поисковые системы (SEO),,17 заявок
Настройка Яндекс Директа и Google Adwords,Контекстная реклама,$173,18 заявок
Настроить сжатие изображений в магазине на базе Cs Cart,Веб-программирование,,1 заявка
Сделать дизайн,Баннеры,,9 заявок
Анализ рынка производства бассейнов из полипропилена,Финансовые услуги,,5 заявок
Правки OpenCart,Системы управления (CMS),,4 заявки
Сохранить векторную картинку без фона,Обработка фотографий,,14 заявок
PHP-программист для проекта Клиентская база,Веб-программирование,,15 заявок
"Статья,описание товара "" Краска-восстановитель для замши и нубука""",Копирайтинг,,4 заявки
Ищу Fullstack разработчика,Системное администрирование,,2 заявки
,,,
Создать баннера с использованием Google Web Designer,Баннеры,,5 заявок
Расчет перекрытия двухэтажного дома,Архитектура зданий,$18,3 заявки
Дизайн мобильной версии сайта.,Дизайн сайтов,,11 заявок
Раскрутка канала в Telegram,Социальные сети (SMM и SMO),,6 заявок
Сделать реферат по культурной антропологии,"Рефераты, Курсовые и Дипломы",,6 заявок
Компьютерный клуб.,"Нейминг и Слоганы, Логотипы и Знаки",,27 заявок
Торговый бот под Poloniex,Веб-программирование,,2 заявки
Требуется специалист по настройке обучающей системы на GetCourse,Веб-программирование,,2 заявки
Создание лендинга с дополнительными внутренними страницами,Сайты «под ключ»,$280,1 заявка
Дизайн листовки А4 по продаже теплиц,Верстка полиграфии,,15 заявок
Оценить стоимость продвижения сайта с нуля в определенной нише,Поисковые системы (SEO),$120,9 заявок
Создание дизайна для сайта - Натяжных потолков,Дизайн сайтов,$300,42 заявки
Внести правки в html,HTML-верстка,$20,31 заявка
Ищу креативного верстальщик+дизайнера по wordpress,Сайты «под ключ»,$17,4 заявки
Перевод письма [ RU to ENG ],Переводы,,38 заявок
Управление проектом,Управление проектами,$100,12 заявок
Аудит сайта,Поисковые системы (SEO),,7 заявок
Поправить мелочи по вёрстки сайта на цмс мод икс - срочно,HTML-верстка,$10,7 заявок
Написать скрипт и интегрировать на сайт,Системное программирование,,2 заявки
Написать скрипт выгрузки в excel на php,Веб-программирование,,6 заявок
,,,
Верстка небольшого макета,HTML-верстка,,37 заявок
Сайт на modX. БОЛЕЕ 50 СТРАНИЦ.,"Веб-программирование, HTML-верстка",,10 заявок
Доработка проекта на PrestaShop - Срочно,Веб-программирование,$25,2 заявки
Изменить весь текст и слоган  на сайте,Копирайтинг,,9 заявок
Обменник валют в интернете,Сайты «под ключ»,,10 заявок
Доделать сайт на Opencart,Веб-программирование,,1 заявка
CRM система для фирмы оказывающей услуги,Веб-программирование,,6 заявок
Интеграция Кассы Дримкас Ф с открытым APi JSON и CMS Мерчиум,Веб-программирование,,1 заявка
Нужно развернуть форум на популярном движке. СРОЧНО,Веб-программирование,,6 заявок
Флеш игра,Разработка игр,,4 заявки
Продвижения сайта,Поисковые системы (SEO),,22 заявки
Необходимо адаптировать существующее приложение под новую iOS.,ПО для мобильных устройств,,4 заявки
Требуется сделать копию сайта,Веб-программирование,,11 заявок
Доработать верстку,HTML-верстка,$15,5 заявок
Обезвредить вирус и закрыть дыры,"Веб-программирование, Системное администрирование",,5 заявок
Нужно создать ТЗ для написание статей,Копирайтинг,,2 заявки
Диаграммы UML,Прикладное ПО,,2 заявки
Нужен перевод одной страницы с корейского на русский язык,Переводы,,4 заявки
Дизай упаковки,"Иллюстрации и Рисунки, Дизайн продукции",,16 заявок
Переделать сайт wordpress,Веб-программирование,,11 заявок
,,,
Импорт товаров woocommerce,Системы управления (CMS),$10,4 заявки
WordPress Site,Сайты «под ключ»,,11 заявок
Настройка отправки сообщений об изменении курса в ФайрБейз ОбменВалют,Веб-программирование,,1 заявка
Web программист (python или php),Веб-программирование,,14 заявок
Небольшая доработка сайта ВордПресс БРемонт,Веб-программирование,,7 заявок
Раскрутка группы ВКонтакте,Социальные сети (SMM и SMO),,6 заявок
Наполнение форума,Наполнение сайтов,,5 заявок
Ищу веб-дизайнера,Дизайн сайтов,$43,20 заявок
Подключить Яндекс кассу + внести небольшую правку в парсере,Веб-программирование,,6 заявок
Работа по созданию сайта,Сайты «под ключ»,,26 заявок
Создать базу для рассылки в Whats up,Наполнение сайтов,,2 заявки
Нужен точно такой сайт по ссылке,Сайты «под ключ»,,14 заявок
Натянуть старую верстку на новый движек форума. Срочно!,Веб-программирование,,5 заявок
"Unity, создать приложение по образцу",Разработка игр,,3 заявки
Разработчик программы ERP или (управленчнеский учет Фаст-фуд),1С-программирование,$1000,5 заявок
Запуск и ведение таргетированной рекламы в ВК,Социальные сети (SMM и SMO),,12 заявок
Нужна помощь англоязычного СЕО-оптимизатора,Поисковые системы (SEO),,4 заявки
Контент-менеджер для сайта на WordPress,Наполнение сайтов,,12 заявок
Загрузка xml фйлов от поставщиков в 1С и пвыгрузка на OpenCart,Веб-программирование,,2 заявки
C++ XML file encryption ГОСТ 28147-89,Прикладное ПО,$83,3 заявки
,,,
Загрузка xml фйлов от поставщиков в 1С и пвыгрузка на OpenCart,Веб-программирование,,2 заявки
C++ XML file encryption ГОСТ 28147-89,Прикладное ПО,$83,3 заявки
Сайт на Wordpress,Сайты «под ключ»,,16 заявок
Выполнить работы по оптимизации скорости загрузки сайта,Веб-программирование,,8 заявок
Краткие описания бытовой техники,Копирайтинг,,4 заявки
Вытащить разговор из записи,Аудиомонтаж,,16 заявок
Написать статью,Копирайтинг,,15 заявок
Исправление ошибок сайта,Системное администрирование,,5 заявок
Необходимо разработать VR приложение для ПК,Прикладное ПО,,3 заявки
PHP рапрарсить данные со страницы,Веб-программирование,$3,4 заявки
Prestashop,Системы управления (CMS),,5 заявок
Создать два баннера для бренда кофе в новогодней тематике,Обработка фотографий,$10,7 заявок
Доработка сайта на Yii 2. Исправить 2 ошибки,Веб-программирование,,3 заявки
Смонтировать видео.,Видеомонтаж,,57 заявок
Монтаж роликов для YouTube,Видеомонтаж,,28 заявок
Подключить оплату и установить модуль Ocstore,Системы управления (CMS),,2 заявки
Подключить платежку Тинькофф,Системы управления (CMS),,5 заявок
Дизайн и верстка сайта,"Дизайн сайтов, HTML-верстка",,29 заявок
Сделать  Интро,Видеомонтаж,$20,26 заявок
Адаптация сайта под мобильные.,"HTML-верстка, Веб-программирование",,13 заявок
,,,
Доработки функционала сайта на Yii2 -  tapis-rouge.ru,Веб-программирование,,2 заявки
Технический специалист для службы поддержки HelpDesk.,Служба поддержки,$800,2 заявки
Доработка по верстке шаблона сайта на Битрикс,HTML-верстка,,5 заявок
Увеличить длину сессии корзины ИМ Опенкарт,Веб-программирование,,5 заявок
Статью на тему одежда,"Стихи, Песни и Проза, Копирайтинг",,19 заявок
Верстка сайта direction RTL иврит,HTML-верстка,$100,8 заявок
"Нужен веб программист, работа с WordPress",Веб-программирование,,14 заявок
JS счетчик,Веб-программирование,,8 заявок
Верстальщик HTML / JS + Jquery,HTML-верстка,,31 заявка
"Требуется автор займы, кредиты",Копирайтинг,,5 заявок
Наполнить Facebook группу людьми,Социальные сети (SMM и SMO),,5 заявок
Калькулятор на сайт,Веб-программирование,,7 заявок
Написание статей для тематического агро- журнала.,Копирайтинг,,6 заявок
Итальянский_юридич тематика,Переводы,,11 заявок
Доработка сайта,Веб-программирование,,9 заявок
Написание текстов на английском языке в большом объеме,"Копирайтинг, Переводы",,15 заявок
Доработка самописного сайта,Веб-программирование,,9 заявок
Сделать правки на сайте,Веб-программирование,,6 заявок
Увеличить количество подписчиков,Социальные сети (SMM и SMO),,8 заявок
Внутрибиржевый и межбиржевый арбитраж,Веб-программирование,,1 заявка
,,,
Дизайн,Дизайн сайтов,,35 заявок
Верстка сайта из дизайн макета на 1с битрикс,HTML-верстка,$350,5 заявок
Настроить импорт на сайт,Веб-программирование,$15,3 заявки
Создать 3д карту участка земли разместить на нем обьекты,3D-графика,,10 заявок
Рассылка Mailchimp,"Системное администрирование, Служба поддержки",,5 заявок
Создание простого мобильного приложения под Android,ПО для мобильных устройств,,18 заявок
Рерайт подготовленных текстов туристической тематики,Рерайтинг,$150,5 заявок
Создать макеты новых открыток,Верстка полиграфии,,13 заявок
Анализ API android приложения,ПО для мобильных устройств,$100,6 заявок
Правки MOD X,Веб-программирование,,4 заявки
Доработки OpenCart,Веб-программирование,,4 заявки
Перевод на Индонезийский и Малазийский языки,Переводы,,3 заявки
Требуется команда программистов для крупного проекта,Веб-программирование,,6 заявок
"Модуль фильтра товаров (Vue JS, PHP, MySQL)",Веб-программирование,,3 заявки
HTML верстка,HTML-верстка,,24 заявки
Гарантированная отправка и получение email,Веб-программирование,,1 заявка
"Создать стиль и дух заведения, что бы  заинтересовать,заинтриговать",Фирменный стиль,$150,1 заявка
"Решить проблемы с Джумла (дубли, 301 редирект)",Веб-программирование,,1 заявка
Ищем фронтэнда для разработки сайта с нуля (API есть),Веб-программирование,,3 заявки
Добавить angular,Прикладное ПО,,4 заявки
,,,
Мобильное приложение ( с элементами соц.сети),ПО для мобильных устройств,$5000,17 заявок
Настроит ТС3,Системное программирование,,1 заявка
Сделать самый простейший типовой договор аренды (99 лет) ПО на 1 лист,Юридические услуги,$6,7 заявок
"Сделать листок, красивый визуально и логически: передача прав на ПО",Юридические услуги,$5,4 заявки
Написание SEO/LSI текстов для сайта (тема-таможенные услуги),Копирайтинг,,11 заявок
Копия форума СРОЧНО.,Веб-программирование,,7 заявок
Разработка дизайна агро-журнала,Верстка полиграфии,,10 заявок
Доработка сайте на CMS Drupal,Системы управления (CMS),,3 заявки
Настроить бота STEAM,Веб-программирование,,1 заявка
Бизнес план по созданию  детского образовательного центра,Финансовые услуги,,8 заявок
Семантическое ядро для рубрики готового сайта,Поисковые системы (SEO),,9 заявок
Необходим юрист для подачи иска в Суд,Юридические услуги,,11 заявок
Сделать сайт,Сайты «под ключ»,,11 заявок
Небольшие правки по сайту на WP,Веб-программирование,,1 заявка
"Натянуть новый дизайн на Wordpress, ускорить работу сайта",Системы управления (CMS),,8 заявок
Перенос сайта на Modx,Системы управления (CMS),,11 заявок
Разработка дизайна оформления кейса по презентации,Дизайн продукции,,9 заявок
Написание вопросов/ответов (кредитная тематика),Копирайтинг,,5 заявок
Написание вопросов-ответов (банковская тематика),Копирайтинг,,6 заявок
Создание картинок для сайта,Иллюстрации и Рисунки,,20 заявок
,,,
Перевод руководства по эксплуатации,Переводы,,16 заявок
Семантическое ядро,Поисковые системы (SEO),,14 заявок
Добавить на сайт MODX EVO shopkeaper,Веб-программирование,,1 заявка
Написать скрипт на JavaScript (PHP) + API Bitfinex,Веб-программирование,,1 заявка
Копирование уже существующего сайта,Сайты «под ключ»,$90,3 заявки
Срочно переподключить SSL,Системное администрирование,,5 заявок
Нужен сайт подобие https://baksman.org,Интернет-магазины,,5 заявок
Перенос микроразметки,Веб-программирование,,6 заявок
Специалист по подбору запросов,Поисковые системы (SEO),$26,3 заявки
PHP Парсер с авторизацией,Веб-программирование,$18,6 заявок
Гугл не хочет индексировать сайт,Поисковые системы (SEO),,8 заявок
Программирование шаблона интернет-магазина (Bitrix),Веб-программирование,,6 заявок
Нужно приложение Unix,Веб-программирование,,1 заявка
Нужно создать сайт для мастера по наращиванию ресниц,Сайты «под ключ»,,21 заявка
Лендинг,HTML-верстка,$30,49 заявок
Требуется написать простое расширение для браузера.,Веб-программирование,,1 заявка
Иллюстрация к книге,Иллюстрации и Рисунки,,9 заявок
"Сайт визитка для команды девопс, аутстафинг и аутсорсинг",Сайты «под ключ»,,14 заявок
Медленная загрузка сайта,Системы управления (CMS),,4 заявки
Разработка логотипа компьютерного клуба,Логотипы и Знаки,,34 заявки
,,,
Натянуть новую верстку на Симфони (Symfony 2.7),Веб-программирование,$70,1 заявка
Выподающее меню modx revolution,Системы управления (CMS),,нет заявок
Написать хороший текст для лендинга по натяжным потолкам,Копирайтинг,,12 заявок
Сделать интернет магазин,Интернет-магазины,$150,14 заявок
Копирайт для главной страницы,Копирайтинг,$1,9 заявок
Интернет-магазин под ключ,Интернет-магазины,$2577,14 заявок
Нужен Facebook Chatbot для заказа суши!,Веб-программирование,,2 заявки
Рерайт статьи на тему истории,Рерайтинг,,10 заявок
Отрисовка фигуры девушки на фоне моря,Иллюстрации и Рисунки,,16 заявок
Доделать скрипт-Постинг товаров ВКонтакте,Веб-программирование,,4 заявки
Загрузка стартовой страницы не может быть выполнена по таймауту(ДЖУМЛА,Веб-программирование,,3 заявки
Очистить сайты на хостинге рег.ру от вирусов,Тестирование сайтов,,7 заявок
Починить оплата через я.д. опенкарт 2,Веб-программирование,,5 заявок
Рерайт статей + размещение,Рерайтинг,$80,14 заявок
Нужен скрипт экзамена ПДД с актуальными данными,Веб-программирование,,5 заявок
Сайт обменник,Веб-программирование,,8 заявок
Нужен логотип,Логотипы и Знаки,,23 заявки
Нарисовать дизайн,Дизайн сайтов,,22 заявки
Диагностика и СЕО оптимизация сайта. Настройка яндекс директ,"Поисковые системы (SEO), Контекстная реклама",,25 заявок
Скопировать сайт без cms,HTML-верстка,,25 заявок
,,,
Настройка контекстной рекламы РБ,Контекстная реклама,,23 заявки
Seo-оптимизация сайта,"Поисковые системы (SEO), HTML-верстка",,10 заявок
"Скопировать Хайп проект, сделать на его примере новый",Веб-программирование,,4 заявки
Нужен проект ангара из дерева 22м на 40м,Чертежи и Схемы,,6 заявок
Нужно написать и разместить обзор сайта на качественных порталах.,Наполнение сайтов,$13,1 заявка
Аналитик (семантик) для составление плана статей,Поисковые системы (SEO),,2 заявки
Стилизовать форму обратного звонка comagic,Веб-программирование,,2 заявки
Собрать загружчик Linux на Apple TV1,Системное администрирование,,1 заявка
Исправление замечаний гугл по скорости загрузки страниц,Поисковые системы (SEO),,7 заявок
Настройка шаблона wordpress по тз,Веб-программирование,$50,7 заявок
Нужно озвучить голосом Деда Мороза текст для автоответа в колцентре,Озвучивание,,5 заявок
Написание статьи на тему описания услуги.,Копирайтинг,,17 заявок
Монтаж свадьбы,Видеомонтаж,,28 заявок
Аудит безопасности Node js,Веб-программирование,,2 заявки
Корректировка и доработка верстки на сайте,HTML-верстка,,7 заявок
Сверстать сайт согласно макетам pivovar42.ru,HTML-верстка,,14 заявок
Поправить выгрузку yml файла на OpenCart,Веб-программирование,,5 заявок
Нейминг для проекта + основной слоган,Нейминг и Слоганы,$20,21 заявка
Разработка дизайна сайта для буржунета(английский сайт),Дизайн сайтов,,31 заявка
Нужен программист знакомый с imagecms,Веб-программирование,,5 заявок
,,,
Нарисовать иллюстрации,Иллюстрации и Рисунки,,21 заявка
Исправить скачивание в формате zip и epub,Веб-программирование,,4 заявки
Перевод хинди-русский,Переводы,,8 заявок
Озвучивание презентации,Озвучивание,,6 заявок
Таргетированная реклама в фейсбуке,Социальные сети (SMM и SMO),,9 заявок
Требуется исправить по сайту несколько ошибок,"Веб-программирование, HTML-верстка",,9 заявок
Сверстать сайт согласно макетам pivovar42.ru,HTML-верстка,,9 заявок
Добавление подписчиков на странице Instagram (качественно),Социальные сети (SMM и SMO),,11 заявок
Настройка SMM для сайта автозапчастей.,"Социальные сети (SMM и SMO), Поисковые системы (SEO)",,17 заявок
Нужна помощь программиста php+mysql (для OpenCart),Веб-программирование,,5 заявок
Новостной портал,Системы управления (CMS),,3 заявки
Продвижение англоязычной версии сайта,Поисковые системы (SEO),,7 заявок
Название для интернет-магазина климатической техники,Нейминг и Слоганы,,25 заявок
"Завантаження, перейменування та збереження фотографій з Інтернету",Наполнение сайтов,,6 заявок
Доработать плагин Simple Image Gallery pro в Joomla 2.5,Веб-программирование,$20,2 заявки
Простое web-приложение на Java для развертывания на Heroku или Amazon,Веб-программирование,,1 заявка
Солидный дизайн для сайта,Дизайн сайтов,$100,34 заявки
Создание обменника криптовалют,Прикладное ПО,,4 заявки
Озвучка детского мультфильма,Озвучивание,,9 заявок
Изменить дизайн для форума phpBB 3.2.0,Дизайн сайтов,,11 заявок
,,,
Перенос сайта на WordPress,Системы управления (CMS),,6 заявок
Настройка рекламных кампаний и SEO-продвижение,Поисковые системы (SEO),$150,17 заявок
Импорт данных из Excell в БД MySql,Веб-программирование,$12,3 заявки
Разработчик интернет-магазина (fullstack),Интернет-магазины,,12 заявок
Необходимо разработать интернет аукцион на магенто,Сайты «под ключ»,,8 заявок
Защитить формы сайта от спама,Веб-программирование,,1 заявка
Сделать сайт,Сайты «под ключ»,,36 заявок
Срочно требуется программист знающий php и html,Веб-программирование,,4 заявки
Рерайт небольших текстов,Рерайтинг,$200,16 заявок
Переводить фразы с русского на тайский,Переводы,,6 заявок
Диктор для рекламы здорового питания,Озвучивание,,15 заявок
Подключить прием платежей Bitcoin на сайте.,Веб-программирование,,7 заявок
Доработка сайта на ocStore,Системы управления (CMS),,4 заявки
Создать логотип,Логотипы и Знаки,,36 заявок
Написать статью кредитная карта уральский банк реконструкции и развития,Копирайтинг,$3,3 заявки
"Интеграция CMS Joomla (в связке с JoomShopping) и ""Мой Склад""",Веб-программирование,,3 заявки
Ищу работника в archicad мне для курсовой,"Рефераты, Курсовые и Дипломы",,нет заявок
Видеоряд для DJ-сета,Видеомонтаж,,9 заявок
Настройк и Ведение РК в Google Adwords,Контекстная реклама,$50,22 заявки
Нужно реализовать выподающее меню на pdoMenu,Системы управления (CMS),$4,3 заявки
,,,
Макет трех страниц для журнала,Верстка полиграфии,,6 заявок
Переводчик на датский,Переводы,,5 заявок
Дизайн LP,Дизайн сайтов,$172,44 заявки
Копия странички,HTML-верстка,,14 заявок
Статейник,Сайты «под ключ»,$100,7 заявок
Нужно сверстать лендинг,HTML-верстка,$26,26 заявок
Лабораторная работа Электротехника и электроника,Лабораторные работы,,2 заявки
Доработка сайта www.takkruto.ru,HTML-верстка,,4 заявки
Подчистить запись в Mp3,Озвучивание,,8 заявок
Исправление очереди получения денежных процентов,Веб-программирование,$5,6 заявок
Перерисовать логотип,Логотипы и Знаки,,30 заявок
Верстка WordPress,"Системы управления (CMS), HTML-верстка",,33 заявки
Smm продвижение сервиса,Социальные сети (SMM и SMO),,13 заявок
Дружеский шарж.,Иллюстрации и Рисунки,,нет заявок
Настройка и создание контекстной рекламы,Контекстная реклама,,29 заявок
Рендер мебели в интерьере,3D-графика,,21 заявка
Разместить текстовый контент на сайте,Наполнение сайтов,,6 заявок
Новогодняя открытка для емейл рассылки,Иллюстрации и Рисунки,,16 заявок
Сайт аукционов,Веб-программирование,,3 заявки
Починить систему распределения задач на базе RabbitMQ,Прикладное ПО,,нет заявок
,,,
Нужно отредактировать 20 статей,Редактирование и Корректура,$30,17 заявок
Консультация по работе программы на Python,Веб-программирование,,4 заявки
Создать скрипт для tradingview,Прикладное ПО,,2 заявки
Аналог сайта и приложения blablacar,Веб-программирование,,6 заявок
Помощь в подписи приложения под мак,Системное администрирование,,нет заявок
Правки на Open Cart,Веб-программирование,,7 заявок
Простой сайт на джумле с дизайном,Веб-программирование,$100,9 заявок
